VTU,KYT,JFQ,1, 63, 53, 14, 14, 114, 74
IKD,QUK,XMX,2, 115, 23, 65, 29, 76, 89
YIH,IJD,QJB,3, 21, 63, 40, 112, 41, 34
BOR,SKD,KYQ,4, 45, 101, 57, 3, 58, 106
YAI,OXE,XWW,5, 84, 20, 98, 89, 31, 55
PIM,PRX,MAY,6, 117, 62, 92, 11, 120, 120
RDH,ABN,OXN,7, 54, 120, 56, 103, 59, 105
EXZ,HZC,XDW,8, 90, 100, 64, 79, 114, 101
WSC,JBX,FND,9, 51, 118, 91, 11, 29, 72
KBQ,XCW,SDX,10, 32, 80, 104, 72, 109, 36
MGJ,JEE,CYW,11, 39, 82, 9, 54, 111, 22
KOT,ROY,YNM,12, 46, 46, 71, 58, 11, 115
VIY,RZJ,KQE,13, 15, 57, 56, 22, 8, 48
RYO,SGU,TVN,14, 7, 39, 42, 113, 71, 2
XMY,LHX,NSY,15, 53, 25, 112, 50, 116, 52
GXQ,ZJV,RNT,16, 7, 79, 17, 12, 27, 37
WGZ,UKV,SXM,17, 50, 47, 91, 103, 111, 38
YJL,GCK,BWK,18, 63, 27, 45, 69, 109, 115
XVL,XUH,UJP,19, 50, 54, 57, 55, 32, 65
UAO,MAR,PRF,20, 24, 79, 6, 112, 6, 38
FVO,LBE,OHS,21, 69, 83, 58, 117, 52, 106
BEL,LCJ,KRD,22, 24, 108, 72, 101, 115, 23
DTJ,IQP,XMQ,23, 114, 39, 80, 20, 18, 71
PDR,JOU,SKY,24, 3, 31, 55, 82, 47, 88
QJB,TJT,CSJ,25, 9, 12, 95, 107, 71, 83
XSP,CVH,YMK,26, 25, 69, 71, 43, 51, 31
GTN,ERR,RZY,27, 45, 99, 84, 25, 53, 54
NZE,PXZ,WQP,28, 87, 113, 108, 87, 29, 93
NBW,URN,GVX,29, 44, 113, 119, 55, 26, 112
DQT,IGY,HYP,30, 29, 82, 79, 83, 43, 90
FUC,MUB,SLA,31, 74, 29, 103, 15, 81, 10
HFJ,YJJ,MAF,32, 99, 54, 9, 23, 100, 119
UTL,PAL,ZNR,33, 119, 26, 62, 115, 62, 47
CKG,YEM,QSN,34, 76, 119, 109, 43, 9, 113
FMV,IHV,GMB,35, 119, 30, 103, 28, 12, 1
SHG,WKR,ATU,36, 96, 110, 94, 73, 113, 78
UEO,SBV,FZL,37, 100, 14, 17, 9, 52, 46
UPT,YIQ,BKM,38, 11, 109, 9, 87, 84, 43
WCI,TMZ,ENN,39, 77, 97, 113, 83, 74, 115
CTU,OXJ,EZI,40, 93, 14, 77, 99, 76, 96
HIB,NZP,JDU,41, 105, 71, 12, 10, 16, 101
VMC,PGM,LIT,42, 104, 34, 81, 2, 98, 77
MVX,VXR,GNZ,43, 103, 30, 118, 111, 115, 24
YJZ,XHX,CHQ,44, 91, 64, 66, 1, 59, 89
TAU,RKR,PSU,45, 108, 80, 83, 83, 76, 80
RIQ,RPM,VRC,46, 86, 7, 5, 112, 15, 15
DPO,BGH,OYQ,47, 99, 49, 5, 10, 82, 12
ZVE,VZJ,YOD,48, 108, 49, 94, 119, 93, 3
EUW,LIR,OQV,49, 20, 116, 4, 77, 42, 92
EFK,APD,OIE,50, 103, 35, 66, 17, 19, 118
HFF,DHR,DXR,51, 92, 104, 89, 38, 18, 79
SGD,XPH,FDN,52, 11, 8, 67, 115, 25, 42
MQY,KAF,QXR,53, 117, 52, 29, 31, 98, 43
SGJ,TYU,ENA,54, 18, 119, 18, 109, 28, 104
LBS,XEK,PKI,55, 87, 41, 100, 58, 98, 39
UDN,WTS,YMY,56, 80, 106, 14, 108, 38, 12
PYA,KRA,CWQ,57, 30, 110, 103, 58, 44, 82
VZH,YHE,SPR,58, 56, 3, 55, 93, 22, 14
NYM,WEN,FWE,59, 72, 120, 29, 108, 73, 77
SCR,POE,CVM,60, 28, 9, 67, 2, 17, 48
OAZ,QPZ,ZOM,61, 97, 57, 43, 70, 52, 65
NUZ,BJO,MRE,62, 58, 65, 41, 105, 3, 7
SJT,VFB,LKM,63, 20, 67, 69, 89, 67, 23
UYB,WJH,SKY,64, 24, 47, 33, 99, 100, 22
MJC,VDM,FRK,65, 68, 83, 36, 56, 43, 115
CNP,NUS,OVR,66, 18, 9, 48, 44, 86, 85
RHQ,BRR,LIG,67, 81, 77, 65, 7, 14, 117
ZOI,DCR,KOT,68, 98, 54, 72, 69, 22, 67
ZMC,LTX,OKE,69, 34, 76, 64, 8, 73, 46
QKR,ZDH,WWM,70, 119, 36, 26, 72, 47, 47
NDN,TSO,GBP,71, 99, 103, 27, 48, 83, 53
DBV,YNU,QVT,72, 74, 102, 108, 27, 43, 49
PSO,ARB,SQZ,73, 76, 52, 8, 72, 5, 108
IZW,OFF,OPT,74, 67, 91, 99, 100, 97, 85
DUK,CLF,XIN,75, 109, 70, 72, 80, 65, 40
UTN,WHF,AUI,76, 105, 68, 49, 34, 69, 29
OCF,LNL,LCB,77, 15, 36, 63, 50, 90, 49
GDV,VJC,HIP,78, 88, 100, 46, 19, 101, 62
DYZ,EPL,VPV,79, 51, 50, 108, 63, 42, 27
